Feature,IV
EXT_SOURCE_3,0.3294429889063742
EXT_SOURCE_2,0.3064732489438034
EXT_SOURCE_1,0.15093437615230368
DAYS_EMPLOYED,0.10126293930234652
AMT_GOODS_PRICE,0.09194050394645831
DAYS_BIRTH,0.08419979385515458
OCCUPATION_TYPE,0.08286467358090772
ORGANIZATION_TYPE,0.07336774650212718
NAME_INCOME_TYPE,0.05962541997499301
REGION_RATING_CLIENT_W_CITY,0.05120149750470637
NAME_EDUCATION_TYPE,0.050835542576501754
REGION_RATING_CLIENT,0.04831690181058305
DAYS_LAST_PHONE_CHANGE,0.04672610622666438
AMT_CREDIT,0.04507264216104677
CODE_GENDER,0.038764937297553606
FLOORSMAX_AVG,0.03852602521576419
DAYS_ID_PUBLISH,0.03845349624322833
FLOORSMAX_MEDI,0.03843685614885719
FLOORSMAX_MODE,0.03816029868119857
TOTALAREA_MODE,0.03629432040819572
REGION_POPULATION_RELATIVE,0.03509435642112918
LIVINGAREA_AVG,0.03363384666202974
LIVINGAREA_MEDI,0.03330426204680749
ELEVATORS_AVG,0.032927049789112886
FLAG_EMP_PHONE,0.03290712820150942
LIVINGAREA_MODE,0.032645628941187235
APARTMENTS_AVG,0.0324093171821488
REG_CITY_NOT_WORK_CITY,0.032207243938993164
APARTMENTS_MEDI,0.03204923468761314
APARTMENTS_MODE,0.03169900418726533
ELEVATORS_MEDI,0.03092765800396667
ELEVATORS_MODE,0.030007666325853666
YEARS_BEGINEXPLUATATION_MEDI,0.029312144528662397
YEARS_BEGINEXPLUATATION_AVG,0.029154590817754025
YEARS_BEGINEXPLUATATION_MODE,0.0290886465921385
FLAG_DOCUMENT_3,0.02857910818325388
ENTRANCES_AVG,0.027853582128676307
ENTRANCES_MEDI,0.027641706134321646
WALLSMATERIAL_MODE,0.027366576542640773
AMT_ANNUITY,0.027144793398560213
DAYS_REGISTRATION,0.026871799862623974
ENTRANCES_MODE,0.026652982579906833
EMERGENCYSTATE_MODE,0.02404396982842625
OWN_CAR_AGE,0.022969939783783283
NONLIVINGAREA_AVG,0.022865100149404655
NONLIVINGAREA_MEDI,0.022762534972754503
HOUSETYPE_MODE,0.022490698309306813
NONLIVINGAREA_MODE,0.022454324606767863
BASEMENTAREA_AVG,0.02236026520535793
REG_CITY_NOT_LIVE_CITY,0.022298689049777908
BASEMENTAREA_MEDI,0.022226804881648507
NAME_FAMILY_STATUS,0.021776834533935637
BASEMENTAREA_MODE,0.021564447635241207
FLOORSMIN_MEDI,0.020720313654420796
FLOORSMIN_AVG,0.02014866676958849
FLOORSMIN_MODE,0.01993127125791304
AMT_REQ_CREDIT_BUREAU_QRT,0.018414054726938286
AMT_REQ_CREDIT_BUREAU_YEAR,0.018027204589144172
YEARS_BUILD_MODE,0.017731526685370418
YEARS_BUILD_MEDI,0.017690289741635716
YEARS_BUILD_AVG,0.017625484511586867
LIVINGAPARTMENTS_AVG,0.017252529667036002
LIVINGAPARTMENTS_MEDI,0.01723997550969807
LANDAREA_MEDI,0.017130138177049573
LANDAREA_AVG,0.017129881169142453
LANDAREA_MODE,0.017093906880076858
LIVINGAPARTMENTS_MODE,0.01688069759144053
NAME_HOUSING_TYPE,0.015730191718486213
NAME_CONTRACT_TYPE,0.015038765972921048
AMT_REQ_CREDIT_BUREAU_MON,0.014980541024757515
DEF_30_CNT_SOCIAL_CIRCLE,0.014953899576191771
AMT_REQ_CREDIT_BUREAU_DAY,0.01446568275203156
COMMONAREA_AVG,0.014329810268779802
COMMONAREA_MEDI,0.014261749340303304
DEF_60_CNT_SOCIAL_CIRCLE,0.013989338004338117
AMT_REQ_CREDIT_BUREAU_HOUR,0.013690026150900328
AMT_REQ_CREDIT_BUREAU_WEEK,0.01361499712661057
LIVE_CITY_NOT_WORK_CITY,0.013228377366784552
FONDKAPREMONT_MODE,0.013021139643990308
COMMONAREA_MODE,0.012980123613264206
FLAG_DOCUMENT_6,0.012824444278416154
NONLIVINGAPARTMENTS_AVG,0.011813735106078183
NONLIVINGAPARTMENTS_MEDI,0.011812431856569083
NONLIVINGAPARTMENTS_MODE,0.011715471884274787
AMT_INCOME_TOTAL,0.010757836221008033
FLAG_WORK_PHONE,0.010328573494741406
HOUR_APPR_PROCESS_START,0.009817625995073931
CNT_CHILDREN,0.008429062634792336
FLAG_PHONE,0.007941714783405227
CNT_FAM_MEMBERS,0.007510642715757363
FLAG_OWN_CAR,0.006596551791883022
OBS_60_CNT_SOCIAL_CIRCLE,0.0032567084472405155
OBS_30_CNT_SOCIAL_CIRCLE,0.0032426160566712096
FLAG_DOCUMENT_13,0.002845628486077077
FLAG_DOCUMENT_16,0.0022599533215127243
NAME_TYPE_SUITE,0.0020859976460031694
FLAG_DOCUMENT_14,0.0017672430069083497
FLAG_DOCUMENT_4,0.0012109482169984397
FLAG_DOCUMENT_18,0.0009958492019798923
FLAG_DOCUMENT_8,0.0009063283428985624
FLAG_DOCUMENT_15,0.0008834122478731845
WEEKDAY_APPR_PROCESS_START,0.0006766888454031502
REG_REGION_NOT_WORK_REGION,0.000622768341965917
FLAG_OWN_REALTY,0.0005054517865839745
REG_REGION_NOT_LIVE_REGION,0.0003930217875051349
FLAG_DOCUMENT_10,0.00030754223775109643
FLAG_DOCUMENT_9,0.0002877317660159365
FLAG_DOCUMENT_11,0.00027058563022957794
FLAG_DOCUMENT_17,0.00025437962052498464
FLAG_DOCUMENT_2,0.00020966800844041337
FLAG_DOCUMENT_21,0.0001452702787736837
LIVE_REGION_NOT_WORK_REGION,0.00010502162128315483
FLAG_DOCUMENT_12,7.900587436038507e-05
FLAG_EMAIL,4.2102771058285686e-05
FLAG_DOCUMENT_7,3.8188902637142e-05
FLAG_MOBIL,3.705097074367896e-05
FLAG_DOCUMENT_19,2.7269972307864267e-05
FLAG_CONT_MOBILE,1.870740772329388e-06
FLAG_DOCUMENT_5,1.3488821825614705e-06
FLAG_DOCUMENT_20,6.161631004024516e-07
